時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,25,0,10,10,5,5,0,5
15,80,0,15,20,5,5,0,20
30,110,0,50,55,5,5,0,15
45,105,0,75,60,30,20,0,20
60,130,0,80,60,80,55,0,20
75,125,0,80,55,80,55,0,20
90,95,0,75,55,70,55,0,20
105,90,0,70,65,65,55,0,20
120,80,0,70,65,60,55,0,30
135,85,0,55,60,60,55,0,15
150,85,0,50,65,60,35,0,25
165,80,0,60,65,45,40,0,35
180,85,0,60,65,45,55,0,30
195,85,0,60,60,45,55,0,30
210,85,0,60,60,50,45,0,25
225,85,0,60,55,50,45,0,20
240,85,0,55,55,50,45,0,20
255,80,0,60,55,50,50,0,30
270,80,0,50,55,50,50,0,30
285,85,0,50,60,60,45,0,20
300,85,0,50,60,60,50,0,30
315,80,0,55,60,60,50,0,30
330,75,0,60,60,55,50,0,30
345,80,0,60,65,60,50,0,30
360,80,0,75,70,60,50,0,20
375,90,0,65,70,65,50,0,20
390,80,0,65,75,65,50,0,20
405,80,0,70,60,65,50,0,35
420,80,0,70,60,65,50,0,45
435,80,0,65,60,60,50,0,30
450,90,0,75,55,60,45,0,25
465,90,0,65,60,60,50,0,15
480,80,0,60,45,60,50,0,15
495,80,0,65,50,50,50,0,30
510,80,0,75,50,50,45,0,20
525,80,0,70,55,50,40,0,35
540,80,0,75,55,45,35,0,40
555,80,0,80,50,45,45,0,20
570,85,0,80,45,40,45,0,20
585,80,0,70,45,35,40,0,20
600,80,0,70,45,30,35,0,20
615,80,0,80,40,40,40,0,20
630,75,0,80,45,40,35,0,15
645,70,0,70,45,40,25,0,10
660,70,0,65,40,40,30,0,15
675,60,0,0,40,15,30,0,10
690,40,0,0,20,15,10,0,15
705,0,0,0,0,5,10,0,15
