時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,120,70,40,55,5,5,0,20
30,115,85,50,65,20,5,0,15
45,120,90,55,60,40,40,0,20
60,120,95,65,60,60,50,0,20
75,95,80,60,55,70,50,15,20
90,85,70,60,60,60,45,20,35
105,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
165,85,55,50,60,45,35,15,30
180,80,70,50,55,45,40,20,20
195,0,0,0,0,0,0,0,0
210,85,60,50,50,35,35,25,35
225,90,60,45,55,45,40,15,35
240,90,55,50,55,45,40,15,35
255,90,50,50,55,45,50,15,20
270,0,0,0,0,0,0,0,0
285,80,70,45,55,40,40,20,20
300,85,75,45,55,40,45,25,20
315,90,65,45,50,40,50,25,20
330,95,55,45,50,40,50,15,20
345,80,60,60,55,45,45,15,15
360,75,65,60,55,40,45,20,25
375,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
435,75,55,35,50,35,45,20,20
450,0,0,0,0,0,0,0,0
465,90,55,40,50,40,45,25,20
480,0,0,0,0,0,0,0,0
495,75,60,55,45,40,30,20,30
510,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0
540,80,55,60,50,30,35,20,15
555,75,45,60,50,35,35,25,15
570,70,45,55,45,35,35,20,15
585,0,0,0,0,0,0,0,0
600,60,40,50,30,35,25,15,20
615,0,0,0,0,0,0,0,0
630,45,25,35,30,10,15,20,20
645,40,25,35,25,5,10,25,20
660,45,25,30,20,5,10,20,20
675,0,45,50,45,10,5,20,20
690,0,45,40,35,15,20,20,20
705,0,0,0,0,0,0,0,0
