時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,90,50,0,15,20,0,5
15,130,120,70,0,35,40,0,15
30,135,130,90,0,75,55,0,30
45,155,140,90,0,100,75,0,45
60,160,150,90,0,110,85,5,50
75,160,140,90,0,110,80,5,35
90,170,145,80,0,110,80,15,35
105,170,140,75,0,110,70,15,40
120,160,125,70,0,110,70,15,45
135,150,120,70,0,100,60,25,35
150,130,110,75,0,95,55,15,40
165,120,90,70,0,90,70,25,30
180,110,75,70,0,85,70,25,30
195,120,85,60,0,80,80,35,20
210,120,90,55,0,80,75,30,15
225,125,100,60,0,80,65,20,30
240,125,130,55,0,75,60,30,35
255,130,130,50,0,75,60,30,50
270,135,115,45,0,100,60,30,35
285,135,105,55,0,110,70,30,35
300,135,60,55,0,100,85,30,35
315,135,105,55,0,95,75,30,50
330,135,120,55,0,85,80,30,45
345,135,115,60,0,90,90,40,45
360,135,115,60,0,100,85,35,45
375,145,110,60,0,100,85,45,45
390,145,120,60,0,100,70,45,35
405,150,105,60,0,95,70,30,20
420,150,105,65,0,95,75,30,35
435,135,105,55,0,90,75,30,45
450,135,115,45,0,90,80,30,40
465,135,120,55,0,90,70,30,45
480,130,110,55,0,90,70,30,45
495,130,105,55,0,90,65,30,30
510,120,90,45,0,90,75,30,30
525,120,100,55,0,90,75,30,35
540,115,100,65,0,90,75,30,35
555,120,90,60,0,75,60,30,20
570,115,75,50,0,70,55,15,20
585,115,75,45,0,60,55,15,20
600,105,70,45,0,50,45,15,20
615,95,65,45,0,50,35,15,15
630,90,70,30,0,40,45,15,20
645,90,65,40,0,35,40,15,20
660,0,70,50,0,50,20,15,20
675,0,75,45,0,0,45,15,20
690,0,65,40,0,0,0,0,15
705,0,0,30,0,0,0,0,15
