時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,145,90,45,0,20,0,5
15,180,130,100,60,0,20,0,20
30,185,120,90,80,0,35,0,15
45,185,110,85,95,0,45,0,15
60,180,115,90,85,0,60,5,20
75,190,115,90,80,0,55,15,20
90,170,105,90,80,0,45,15,35
105,160,105,85,75,0,45,20,30
120,150,105,80,70,0,45,25,30
135,150,100,80,70,0,45,15,30
150,140,100,75,70,0,45,15,30
165,130,95,75,75,0,45,35,30
180,135,110,85,75,0,45,20,20
195,145,110,100,70,0,45,20,20
210,150,100,100,55,0,45,30,20
225,135,100,100,60,0,45,45,20
240,140,100,95,80,0,45,30,20
255,135,90,95,75,0,45,20,30
270,125,105,90,75,0,50,25,50
285,125,100,90,70,0,50,25,30
300,125,100,90,65,0,50,30,30
315,130,100,80,65,0,50,35,30
330,140,90,150,55,0,45,20,35
345,140,100,120,65,0,45,35,35
360,145,115,110,70,0,45,25,45
375,145,105,110,70,0,40,25,30
390,145,105,110,70,0,45,20,35
405,140,95,140,80,0,50,20,30
420,140,95,140,75,0,50,20,50
435,135,105,140,75,0,50,40,35
450,135,110,120,75,0,45,30,30
465,130,100,120,55,0,45,30,35
480,130,95,110,55,0,45,30,30
495,125,80,110,60,0,45,35,30
510,120,90,110,60,0,35,15,30
525,115,80,120,65,0,40,20,30
540,105,80,130,65,0,40,20,30
555,110,85,130,60,0,40,0,20
570,110,80,120,45,0,35,0,20
585,110,60,120,40,0,30,0,20
600,100,55,115,40,0,25,0,20
615,90,50,0,35,0,20,0,15
630,90,50,0,35,0,15,0,15
645,80,40,0,35,0,15,0,15
660,0,45,0,30,0,10,0,15
675,0,0,0,40,0,5,0,15
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,20
