時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,150,60,50,5,10,0,15
15,150,150,60,60,15,10,0,20
30,150,140,90,75,55,45,0,45
45,160,160,90,80,85,55,0,50
60,150,150,85,80,85,55,15,50
75,130,150,90,80,75,60,15,35
90,140,125,90,85,65,65,25,35
105,140,125,90,85,60,65,30,60
120,130,120,90,85,60,60,30,60
135,130,120,90,95,60,60,35,30
150,130,105,80,85,60,55,35,45
165,130,85,70,85,65,50,30,65
180,120,80,60,85,80,50,20,50
195,120,85,60,70,85,45,40,45
210,120,110,75,70,80,50,45,30
225,120,115,85,75,60,55,50,45
240,120,115,85,90,75,65,30,35
255,120,120,80,90,75,60,35,45
270,130,120,80,85,75,60,35,60
285,140,120,75,75,75,55,40,60
300,135,120,65,75,0,55,40,65
315,130,125,65,90,0,65,50,50
330,130,120,80,95,0,65,50,60
345,140,120,85,95,0,70,45,60
360,140,120,85,85,0,70,60,55
375,140,110,75,85,0,70,45,50
390,140,100,90,85,0,75,35,60
405,140,100,100,95,0,80,45,60
420,145,115,90,95,0,70,50,60
435,145,130,90,100,0,65,35,60
450,150,130,90,95,45,70,40,55
465,140,115,90,90,65,70,40,65
480,140,115,85,85,85,65,40,55
495,140,110,80,85,90,60,45,65
510,140,130,80,75,120,60,45,65
525,155,130,75,90,120,60,40,55
540,155,115,95,85,110,65,40,50
555,150,110,80,75,95,60,45,50
570,130,105,85,70,85,45,35,35
585,120,95,70,65,80,45,15,45
600,110,85,65,55,75,30,15,35
615,100,75,55,50,60,30,15,30
630,95,70,55,50,55,25,15,20
645,0,60,50,45,30,25,25,15
660,0,60,65,40,25,20,25,15
675,0,0,0,50,0,40,15,30
690,0,0,0,0,0,0,20,30
705,0,0,0,0,0,0,0,0
