時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,5,0,5,5,5,5,0,5
15,70,0,5,20,5,5,0,15
30,110,0,45,50,5,5,0,15
45,115,0,70,65,30,10,0,15
60,120,0,70,80,70,50,0,20
75,120,0,65,70,70,55,0,20
90,100,0,65,65,85,55,0,35
105,80,0,65,65,65,55,0,30
120,70,0,60,60,60,65,0,35
135,70,0,50,60,60,65,0,15
150,80,0,50,50,60,50,0,30
165,80,0,45,50,55,45,0,20
180,85,0,50,55,50,35,0,45
195,80,0,55,55,60,40,0,30
210,75,0,55,55,55,40,0,20
225,75,0,55,55,55,35,0,30
240,80,0,50,55,55,40,0,35
255,85,0,50,60,55,40,0,30
270,85,0,50,55,45,50,0,20
285,85,0,50,50,50,50,0,15
300,75,0,50,50,55,50,0,30
315,80,0,55,55,45,50,0,30
330,80,0,55,60,50,50,0,35
345,75,0,55,60,60,50,0,30
360,70,0,60,60,60,50,0,30
375,75,0,60,60,60,60,0,20
390,75,0,65,60,60,60,0,30
405,90,0,65,60,60,60,0,40
420,90,0,70,55,55,50,0,30
435,90,0,70,55,60,50,0,30
450,85,0,70,55,55,60,0,30
465,85,0,70,60,55,60,0,30
480,80,0,70,50,60,45,0,30
495,75,0,65,50,55,35,0,20
510,75,0,65,45,45,35,0,35
525,75,0,65,50,45,35,0,30
540,70,0,70,55,45,35,0,35
555,70,0,70,45,50,40,0,35
570,65,0,75,45,65,30,0,20
585,65,0,65,40,60,30,0,15
600,70,0,60,40,50,35,0,15
615,70,0,60,40,45,30,0,15
630,65,0,60,40,35,20,0,15
645,65,0,65,35,20,20,0,15
660,65,0,55,40,20,15,0,20
675,50,0,0,35,20,15,0,15
690,0,0,0,25,15,15,0,15
705,0,0,0,20,5,5,0,20
