時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,110,70,45,35,0,5,0,15
15,110,70,45,40,0,5,0,20
30,110,70,60,40,0,20,0,20
45,85,65,60,40,0,20,0,20
60,90,65,60,40,0,25,15,20
75,90,65,60,40,0,25,20,20
90,80,60,50,40,0,30,20,20
105,80,60,45,40,0,30,20,20
120,80,60,50,40,0,25,25,20
135,90,55,50,40,0,25,15,15
150,90,55,40,40,0,25,15,20
165,90,60,40,40,0,25,40,15
180,80,60,50,60,0,25,25,15
195,80,60,50,55,0,35,25,15
210,80,60,45,45,0,35,25,15
225,75,50,45,40,0,35,15,15
240,70,50,35,35,0,30,15,20
255,70,45,25,35,0,30,25,20
270,75,70,35,40,0,35,20,20
285,75,70,35,40,0,30,25,20
300,80,70,40,45,0,35,15,15
315,80,65,40,45,0,35,15,15
330,70,65,35,45,0,35,20,20
345,70,65,30,35,0,35,25,20
360,75,65,35,35,0,30,25,15
375,75,60,35,35,0,30,15,15
390,75,60,35,40,0,30,15,15
405,75,55,35,40,0,35,20,20
420,75,55,30,35,0,35,25,20
435,75,55,30,30,0,30,20,15
450,70,60,30,30,0,30,15,15
465,70,60,25,30,0,35,15,15
480,70,60,30,30,0,30,20,15
495,55,55,30,25,0,20,15,15
510,50,50,25,20,0,25,25,15
525,40,40,25,15,0,20,15,15
540,40,35,20,10,0,10,20,15
555,30,30,20,10,0,5,0,20
570,20,0,20,5,0,5,0,15
585,0,0,0,15,0,5,0,20
600,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0
