時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,60,45,10,20,5,5,0,5
15,100,75,35,35,5,5,0,20
30,135,100,60,65,15,10,0,20
45,145,100,70,75,40,40,0,15
60,140,115,85,80,65,45,5,35
75,125,115,85,85,70,55,15,45
90,115,115,80,80,65,55,20,55
105,100,110,80,80,55,50,20,45
120,90,110,75,90,55,50,15,20
135,90,110,70,90,55,45,20,30
150,100,0,70,90,55,50,15,35
165,105,0,70,80,50,55,15,45
180,105,0,75,80,50,55,15,45
195,105,0,85,80,50,45,40,30
210,105,40,75,80,40,50,30,30
225,105,40,60,85,50,55,25,30
240,100,80,60,85,55,50,35,30
255,105,110,60,75,60,45,30,35
270,95,110,60,75,60,0,20,5
285,100,100,65,75,65,0,20,40
300,95,100,75,85,75,0,25,50
315,105,90,80,85,75,0,30,50
330,120,75,70,90,80,20,35,30
345,105,70,70,95,80,50,30,30
360,105,80,80,90,70,70,40,30
375,90,100,80,105,60,80,20,35
390,90,95,70,95,60,75,25,35
405,105,105,55,95,60,65,25,40
420,105,100,70,85,55,70,30,50
435,100,100,75,75,50,70,20,45
450,115,100,75,95,55,65,35,30
465,115,90,75,80,50,70,25,30
480,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0
510,105,100,75,95,55,55,20,35
525,105,100,70,85,55,50,20,35
540,90,100,75,85,60,50,20,35
555,90,105,60,70,55,45,25,20
570,90,90,60,65,40,45,25,30
585,90,70,65,65,35,35,25,15
600,90,70,65,55,25,45,25,15
615,85,60,50,45,20,40,15,15
630,75,60,45,50,15,20,25,15
645,0,0,0,0,0,0,0,0
660,0,45,25,35,5,20,25,15
675,0,0,50,45,15,30,15,15
690,0,0,0,50,0,0,15,15
705,0,0,0,0,0,0,0,15
