時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,145,85,40,0,5,30,0,5
15,145,100,100,0,35,35,0,15
30,160,115,95,0,80,50,0,25
45,150,135,115,0,95,70,0,35
60,145,135,120,0,120,85,15,50
75,150,125,115,0,110,95,15,35
90,140,100,100,0,90,95,15,50
105,120,100,90,0,75,85,15,35
120,115,120,85,0,75,70,15,30
135,115,125,95,0,90,75,15,20
150,100,90,100,0,105,70,25,30
165,110,75,95,0,105,60,20,30
180,125,85,95,0,100,75,20,35
195,115,95,95,0,105,75,20,20
210,105,90,95,0,100,75,35,20
225,110,100,85,0,95,75,30,30
240,100,100,85,0,90,75,25,15
255,110,105,90,0,90,75,25,20
270,110,95,85,0,95,85,25,20
285,120,95,85,0,0,90,25,20
300,120,120,90,0,0,120,25,20
315,120,120,90,0,0,120,25,30
330,115,120,95,0,0,100,25,30
345,120,110,95,0,0,80,25,30
360,120,120,95,0,0,100,25,35
375,120,120,105,0,0,100,25,30
390,125,100,110,0,0,100,25,25
405,120,90,110,0,0,100,30,25
420,120,100,110,0,100,100,25,45
435,120,95,120,0,120,100,25,30
450,115,95,120,0,130,100,15,30
465,120,105,120,0,130,100,20,20
480,115,95,105,0,130,100,15,20
495,120,95,100,0,130,80,15,20
510,130,95,100,0,120,75,15,20
525,125,95,100,0,120,75,15,25
540,125,85,95,0,120,70,15,25
555,110,85,95,0,120,75,15,15
570,105,75,90,0,130,75,15,15
585,95,75,90,0,130,70,15,15
600,90,70,85,0,120,65,15,20
615,90,60,80,0,110,55,15,15
630,75,55,70,0,90,45,15,15
645,60,50,70,0,70,40,15,15
660,0,60,0,0,30,40,15,15
675,0,40,0,0,0,45,15,15
690,0,0,0,0,0,0,0,15
705,0,0,0,0,0,0,0,20
