時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,85,0,5,0,5,5,0,15
15,90,0,40,0,10,5,0,15
30,95,0,55,25,15,5,0,15
45,85,0,50,55,20,5,0,20
60,80,0,45,45,30,5,0,20
75,75,0,35,40,45,5,0,30
90,70,0,30,40,45,5,0,30
105,65,0,30,45,45,5,0,25
120,70,0,30,45,40,5,0,30
135,70,0,30,35,30,5,0,15
150,65,0,40,25,35,5,0,20
165,65,0,35,45,50,5,0,20
180,60,0,25,45,50,5,0,25
195,55,0,25,50,50,5,0,30
210,60,0,25,40,50,5,0,30
225,65,0,35,30,40,5,0,30
240,55,0,35,30,30,10,0,20
255,55,0,30,35,25,20,0,20
270,50,0,25,40,25,20,0,20
285,55,0,25,35,25,20,0,20
300,55,0,30,30,25,25,0,15
315,50,0,25,25,20,30,0,15
330,55,0,25,25,35,30,0,30
345,60,0,25,25,20,30,0,20
360,55,0,20,20,25,30,0,25
375,55,0,20,25,25,30,0,15
390,50,0,20,20,25,30,0,20
405,50,0,30,20,15,35,0,35
420,45,0,35,25,15,25,0,30
435,45,0,30,30,25,25,0,30
450,50,0,20,20,40,25,0,30
465,50,0,20,20,40,25,0,15
480,45,0,15,20,30,25,0,20
495,35,0,25,40,20,25,0,15
510,40,0,25,40,20,35,0,20
525,40,0,30,30,25,35,0,20
540,45,0,35,20,25,35,0,20
555,35,0,25,20,20,30,0,20
570,0,0,0,0,0,0,0,0
585,40,0,25,20,5,15,0,20
600,40,0,20,15,5,15,0,15
615,40,0,35,15,5,10,0,15
630,0,0,0,0,0,0,0,0
645,40,0,25,20,5,15,0,15
660,40,0,25,15,5,15,0,15
675,40,0,25,15,5,5,0,15
690,35,0,25,15,5,5,0,15
705,0,0,20,5,0,0,0,15
