時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,120,50,0,0,30,0,15
15,165,100,60,0,0,50,0,20
30,155,110,110,0,0,70,0,30
45,150,160,110,0,0,80,0,45
60,185,165,125,0,0,90,15,45
75,195,170,115,0,0,110,15,65
90,185,160,95,0,0,130,35,70
105,195,170,105,0,0,130,40,80
120,195,170,90,0,0,120,35,80
135,190,160,75,0,0,110,45,65
150,180,150,75,0,20,110,45,65
165,165,150,80,0,170,110,45,50
180,155,140,80,0,95,100,30,50
195,155,150,75,0,60,100,50,50
210,160,160,70,0,100,90,40,35
225,155,150,70,0,150,90,35,35
240,160,145,75,0,130,90,35,50
255,165,150,80,0,100,80,40,60
270,165,145,80,0,90,90,40,50
285,170,135,80,0,110,110,45,45
300,175,130,85,0,0,110,50,45
315,170,130,90,0,0,120,40,45
330,170,145,85,0,0,120,50,50
345,170,130,80,0,0,120,45,60
360,175,130,70,0,0,120,45,60
375,175,130,80,0,0,130,55,60
390,185,150,95,0,0,130,45,65
405,185,150,105,0,10,130,35,65
420,190,140,110,0,120,130,35,65
435,205,140,100,0,160,130,45,50
450,195,150,100,0,180,130,50,60
465,195,160,100,0,180,130,45,55
480,190,160,90,0,180,120,35,65
495,180,150,85,0,180,110,35,55
510,170,140,85,0,180,110,55,50
525,170,130,95,0,170,110,55,60
540,160,110,95,0,170,110,45,45
555,150,100,95,0,150,90,15,30
570,155,95,100,0,150,90,15,30
585,140,95,100,0,140,90,15,15
600,0,100,85,0,130,70,15,20
615,0,110,75,0,120,70,15,20
630,0,100,65,0,0,70,15,20
645,0,100,60,0,0,60,15,15
660,0,0,0,0,0,55,15,25
675,0,0,0,0,0,55,15,40
690,0,0,0,0,0,0,0,30
705,0,0,0,0,0,0,0,25
