時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,0,30,45,5,5,0,15
15,130,0,50,65,15,5,0,20
30,140,0,70,65,50,40,0,20
45,130,0,70,65,85,55,0,20
60,150,0,70,55,65,55,0,35
75,135,0,65,60,60,55,0,20
90,115,0,65,65,45,55,0,30
105,100,0,55,65,45,45,0,25
120,105,0,60,65,45,45,0,30
135,100,0,60,60,40,45,0,35
150,100,0,55,50,40,80,0,30
165,95,0,45,50,40,65,0,35
180,100,0,50,60,45,45,0,35
195,95,0,55,60,60,45,0,35
210,90,0,70,60,60,45,0,35
225,95,0,75,60,55,50,0,45
240,90,0,70,60,55,50,0,30
255,85,0,60,60,60,50,0,30
270,85,0,35,60,65,45,0,40
285,100,0,50,60,65,45,0,45
300,105,0,60,50,65,40,0,35
315,95,0,60,45,65,30,0,35
330,100,0,65,60,65,35,0,50
345,105,0,65,65,65,40,0,50
360,105,0,55,60,50,40,0,45
375,105,0,50,50,50,40,0,45
390,100,0,50,50,60,35,0,45
405,85,0,55,45,65,45,0,30
420,95,0,60,60,70,45,0,50
435,90,0,50,50,70,50,0,35
450,95,0,50,45,60,50,0,50
465,95,0,45,45,60,50,0,50
480,90,0,50,55,60,40,0,30
495,90,0,70,50,55,45,0,45
510,95,0,55,50,45,45,0,30
525,95,0,65,40,35,35,0,45
540,90,0,65,40,40,35,0,50
555,85,0,60,40,40,30,0,35
570,100,0,65,45,45,30,0,20
585,95,0,60,45,45,35,0,20
600,90,0,60,50,40,25,0,15
615,75,0,55,30,30,25,0,30
630,70,0,60,35,25,25,0,30
645,65,0,45,35,30,30,0,25
660,0,0,60,35,30,30,0,15
675,0,0,0,25,30,15,0,20
690,0,0,0,30,10,15,0,15
705,0,0,0,0,5,10,0,15
