時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,160,5,80,55,0,5,0,5
15,150,120,95,60,0,25,0,30
30,150,110,95,85,0,30,0,15
45,150,110,85,85,0,45,0,20
60,130,100,80,75,0,50,25,20
75,130,100,80,75,0,50,15,25
90,130,90,80,65,0,45,20,35
105,110,85,80,60,0,45,20,30
120,110,85,80,60,0,45,25,30
135,110,85,80,60,0,40,15,15
150,100,75,100,60,0,40,15,25
165,90,75,75,60,0,35,35,15
180,95,85,75,65,0,40,20,30
195,120,90,70,65,0,45,25,20
210,130,80,70,65,0,40,25,20
225,130,80,60,65,0,40,15,15
240,115,80,60,65,0,45,30,20
255,100,80,60,50,0,45,15,20
270,100,80,70,60,0,45,20,30
285,110,85,75,60,0,40,25,30
300,115,85,75,60,0,45,25,30
315,120,85,75,60,0,45,30,15
330,120,90,75,60,0,40,20,20
345,115,95,75,55,0,40,25,30
360,110,90,75,50,0,45,25,35
375,120,80,70,60,0,45,30,30
390,120,80,70,60,0,40,30,20
405,120,80,70,60,0,40,20,30
420,120,90,85,60,0,40,20,30
435,120,90,85,50,0,40,30,30
450,110,90,80,55,0,45,15,30
465,115,85,80,60,0,45,25,20
480,120,85,80,55,0,45,25,30
495,120,85,80,55,0,45,30,20
510,125,85,80,50,0,35,25,20
525,120,90,80,45,0,35,20,20
540,110,80,80,40,0,30,20,15
555,100,65,80,45,0,35,0,20
570,90,65,80,45,0,30,0,15
585,80,65,80,45,0,30,0,15
600,85,60,80,45,0,20,0,15
615,85,55,70,40,0,20,0,15
630,70,45,65,25,0,15,0,15
645,50,35,55,15,0,15,0,15
660,40,30,50,15,0,5,0,15
675,0,0,50,20,0,5,0,15
690,0,0,0,45,0,0,0,15
705,0,0,0,0,0,0,0,15
