時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,5,35,45,10,0,5,0,15
15,100,50,55,30,0,5,0,15
30,100,60,60,40,0,5,0,15
45,105,65,130,70,0,5,0,15
60,110,100,120,70,0,15,15,20
75,115,110,120,80,0,30,15,20
90,115,85,110,80,0,45,20,20
105,115,75,95,65,0,40,25,20
120,110,70,85,60,0,40,25,30
135,90,65,70,55,0,40,15,15
150,90,65,60,55,0,35,20,15
165,90,65,65,60,0,35,40,20
180,85,65,75,60,0,35,20,15
195,95,65,75,65,0,35,30,20
210,95,65,85,65,0,35,10,20
225,100,65,85,60,0,35,15,20
240,100,60,80,60,0,40,20,15
255,100,70,80,60,0,40,25,20
270,90,80,75,60,0,40,15,30
285,90,80,75,65,0,40,25,30
300,85,80,80,65,0,40,15,30
315,95,70,80,55,0,40,20,15
330,105,75,80,60,0,45,20,20
345,105,70,70,65,0,40,25,20
360,100,75,80,65,0,40,25,20
375,100,75,80,60,0,40,15,20
390,105,70,80,65,0,35,15,30
405,105,70,80,60,0,35,20,25
420,100,75,90,60,0,35,25,30
435,100,65,90,60,0,35,20,20
450,100,70,90,55,0,40,15,30
465,100,70,85,60,0,40,15,20
480,90,60,95,60,0,40,20,20
495,85,60,95,60,0,35,25,20
510,80,0,95,60,0,30,25,15
525,95,0,95,60,0,25,10,15
540,105,0,105,60,0,25,10,20
555,105,0,105,55,0,25,0,20
570,100,0,100,50,0,25,0,20
585,80,80,100,50,0,25,0,20
600,60,40,100,45,0,25,0,20
615,65,30,90,40,0,20,0,15
630,65,45,70,30,0,20,0,15
645,60,45,60,15,0,5,0,15
660,50,40,60,15,0,5,0,0
675,50,0,0,25,0,5,0,0
690,0,0,0,0,0,5,0,0
705,0,0,0,0,0,15,0,0
