時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,80,70,30,30,5,5,0,15
15,110,80,50,60,5,5,0,15
30,105,80,50,80,30,15,0,20
45,100,90,70,70,60,45,0,20
60,110,95,60,70,0,70,15,20
75,115,85,75,70,0,90,15,20
90,110,80,75,75,0,80,20,30
105,95,80,75,75,0,70,25,45
120,80,75,65,80,0,45,25,30
135,85,70,70,80,0,50,25,30
150,100,75,70,65,0,55,30,35
165,100,75,65,70,0,50,15,30
180,90,75,65,70,0,55,20,20
195,90,75,65,70,0,55,25,30
210,100,75,70,75,0,55,25,30
225,0,0,0,0,0,0,0,0
240,100,60,65,75,0,80,30,35
255,100,60,65,70,15,80,15,30
270,100,80,65,70,110,50,25,30
285,95,90,65,65,100,50,20,30
300,95,90,65,70,95,50,25,35
315,95,85,65,70,90,60,30,30
330,100,75,65,70,100,70,30,35
345,100,70,65,70,100,60,15,35
360,95,75,65,70,100,55,25,30
375,85,75,65,70,100,50,15,30
390,95,70,75,70,90,50,25,30
405,95,65,70,70,90,50,30,30
420,95,75,70,60,80,50,15,30
435,100,75,65,50,70,45,15,20
450,95,70,65,60,70,50,25,35
465,95,70,50,65,90,55,20,20
480,90,75,55,70,90,50,15,20
495,100,80,85,70,80,50,25,35
510,100,80,85,75,60,55,15,30
525,95,75,75,75,45,60,20,30
540,100,65,75,85,60,50,20,30
555,95,60,65,75,60,55,25,15
570,95,65,65,60,0,55,25,15
585,95,60,60,55,0,55,25,20
600,0,55,45,55,0,60,15,15
615,0,45,45,45,0,60,15,20
630,0,45,40,45,0,40,20,20
645,70,45,40,40,20,5,25,20
660,60,45,40,35,35,10,15,20
675,0,50,50,45,60,35,15,20
690,0,0,0,0,0,0,0,0
705,0,50,0,0,60,0,0,15
