時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,150,110,45,45,15,10,0,20
30,140,120,50,65,30,10,0,15
45,150,115,60,70,35,25,0,20
60,150,110,75,75,45,40,0,20
75,150,100,75,70,50,40,20,35
90,120,110,70,70,50,45,20,35
105,110,100,70,70,50,45,25,45
120,105,100,65,75,50,45,25,30
135,105,90,65,70,50,40,30,30
150,105,85,60,65,50,40,15,35
165,105,90,60,70,55,40,20,35
180,120,100,60,65,50,45,25,20
195,130,95,75,65,50,40,25,20
210,130,90,80,75,50,40,25,20
225,120,95,80,80,40,40,30,45
240,120,95,85,70,45,40,30,30
255,110,100,85,70,45,40,35,30
270,0,0,0,0,0,0,0,0
285,110,115,65,75,50,40,30,40
300,110,110,60,80,50,40,30,35
315,100,100,65,80,55,45,30,35
330,100,100,65,75,55,40,40,40
345,105,95,70,75,55,40,35,35
360,105,110,75,75,50,40,35,35
375,105,110,70,75,50,40,25,35
390,120,110,75,75,45,40,25,40
405,130,110,80,85,45,40,30,35
420,130,100,70,85,45,35,30,45
435,130,100,75,70,50,35,15,45
450,130,100,75,70,50,40,20,30
465,130,110,75,70,45,40,20,30
480,120,110,75,65,40,40,25,45
495,120,110,75,65,45,40,25,35
510,130,110,70,80,45,35,15,35
525,140,110,75,80,45,40,20,20
540,130,110,75,70,40,40,20,20
555,130,110,70,70,35,40,25,20
570,115,90,70,60,0,40,25,35
585,110,80,65,60,0,45,15,30
600,110,80,65,60,0,50,15,25
615,100,70,50,50,0,30,15,20
630,90,55,50,40,5,25,20,20
645,80,50,50,40,5,25,25,20
660,0,40,50,30,10,20,15,20
675,0,0,45,35,15,5,25,20
690,0,0,0,0,25,25,15,20
705,0,0,0,0,0,25,0,20
