時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,155,110,55,50,20,15,0,20
30,160,120,65,70,40,25,0,20
45,140,130,65,70,50,35,0,20
60,135,115,70,75,55,45,0,20
75,120,105,70,75,55,45,15,30
90,110,105,65,75,55,40,20,30
105,95,90,60,0,50,40,20,30
120,95,90,60,0,55,40,25,35
135,115,85,50,0,55,45,15,15
150,115,80,55,0,55,45,25,40
165,115,75,55,15,60,45,15,40
180,100,85,55,60,55,40,25,20
195,105,100,55,70,45,35,20,20
210,100,100,55,75,40,30,25,15
225,100,100,60,80,40,35,15,35
240,105,90,70,80,45,35,15,35
255,110,90,55,70,40,40,15,20
270,110,70,50,60,45,40,15,40
285,110,70,50,70,45,35,25,20
300,100,80,50,65,45,35,25,45
315,0,0,0,0,0,0,0,0
330,95,75,50,75,40,35,15,35
345,90,75,50,75,40,35,25,35
360,95,80,55,75,35,30,25,35
375,90,80,55,65,40,35,20,40
390,115,80,55,60,40,35,25,40
405,115,80,55,70,40,35,30,40
420,105,90,55,70,40,30,30,20
435,115,90,55,75,40,30,15,35
450,115,90,55,75,35,35,25,35
465,110,75,55,70,40,35,25,35
480,110,75,50,65,35,30,25,35
495,110,85,50,65,35,40,15,40
510,110,95,50,70,35,40,15,20
525,120,95,50,75,35,30,20,20
540,115,90,50,65,30,30,20,35
555,100,70,45,65,30,30,15,35
570,100,70,40,65,30,30,25,15
585,110,60,45,55,25,30,15,15
600,105,55,45,50,25,20,15,20
615,100,50,40,40,20,15,20,20
630,75,45,30,40,5,10,25,20
645,70,35,30,35,5,10,25,20
660,65,35,35,35,5,5,15,15
675,60,40,45,35,5,5,15,15
690,0,0,0,0,10,10,15,15
705,0,0,0,0,0,15,0,15
