時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,125,90,55,0,10,0,0,20
30,140,110,50,0,30,0,0,15
45,130,110,50,0,50,0,0,20
60,125,90,50,0,65,0,0,20
75,105,75,55,0,65,0,15,15
90,100,60,60,0,45,0,20,20
105,105,70,60,20,40,0,25,15
120,105,70,60,85,40,0,25,15
135,95,70,60,60,40,0,15,15
150,85,55,40,60,30,0,20,15
165,85,50,40,65,30,0,15,20
180,85,50,40,65,35,0,20,20
195,80,55,40,60,35,0,25,20
210,90,65,45,60,35,0,25,20
225,90,60,50,60,35,0,15,20
240,100,55,45,65,35,0,15,20
255,95,45,45,65,35,0,15,25
270,85,55,55,55,35,0,20,15
285,85,65,50,55,35,0,25,20
300,85,65,40,55,30,0,25,20
315,90,60,30,60,30,0,15,20
330,90,60,40,60,30,0,15,20
345,90,55,40,60,35,0,15,30
360,90,60,55,0,40,0,20,30
375,110,60,55,0,45,0,25,20
390,110,55,55,0,40,0,25,20
405,105,55,45,0,35,0,20,15
420,100,55,40,5,30,0,20,20
435,100,55,40,60,30,0,20,15
450,0,0,0,0,0,0,0,0
465,85,60,40,85,20,0,25,20
480,85,60,40,85,20,0,25,15
495,85,60,40,75,20,0,15,20
510,90,70,40,75,25,0,15,15
525,90,70,35,60,25,0,20,15
540,80,60,35,60,20,0,20,15
555,80,50,35,60,20,0,20,20
570,60,55,45,60,10,0,20,20
585,60,50,45,50,5,0,20,20
600,60,40,25,45,10,0,20,20
615,60,35,25,45,5,0,15,15
630,40,30,20,35,5,0,25,15
645,40,35,20,20,5,0,15,15
660,40,35,20,20,5,0,15,15
675,0,0,40,40,5,0,15,20
690,0,0,25,40,5,0,15,20
705,0,0,20,0,5,0,0,20
