date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,49,7069,662,"[3, 5, 0, 4, 4, 0, 2, 3, 2, 2, 5, 2, 2, 3, 3]","[3, 5, 0, 4, 4, 0, 2, 3, 2, 2, 5, 2, 2, 3, 3]","[0, 60, 135, 225, 300, 360, 465, 525, 540, 555, 570, 585, 600, 630, 645]"
2023-09-28,50,7480,700,"[4, 5, 2, 3, 5, 5, 2, 7, 2, 2, 3, 0, 5, 0, 1, 6, 4, 1]","[4, 5, 2, 3, 5, 5, 2, 7, 2, 2, 3, 0, 5, 0, 1, 6]","[0, 30, 45, 120, 195, 270, 330, 405, 480, 525, 540, 570, 585, 600, 615, 645]"
2023-09-28,51,7965,692,"[6, 3, 4, 4, 5, 7, 3, 5, 1, 3, 2, 3, 3, 5, 5, 4, 4]","[6, 3, 4, 4, 5, 7, 3, 5, 1, 3, 2, 3, 3, 5, 5, 4, 4]","[0, 45, 120, 195, 270, 330, 390, 465, 525, 540, 555, 585, 600, 615, 630, 660, 675]"
2023-09-28,52,7913,693,"[5, 6, 1, 6, 4, 7, 5, 2, 1, 2, 3, 4, 5, 1, 5, 5, 4, 7]","[5, 6, 1, 6, 4, 7, 5, 2, 1, 2, 3, 4, 5, 1, 5, 5, 4]","[0, 30, 60, 210, 270, 330, 390, 450, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,53,7098,703,"[1, 7, 7, 4, 2, 2, 7, 2, 3, 2, 2, 3, 3, 2, 1, 1, 5, 5, 3]","[1, 7, 7, 4, 2, 2, 7, 2, 3, 2, 2, 3, 3, 2, 1]","[0, 90, 180, 255, 315, 390, 450, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,54,7470,691,"[5, 4, 1, 6, 4, 2, 5, 4, 3, 3, 2, 0, 5, 1, 5, 1]","[5, 4, 1, 6, 4, 2, 5, 4, 3, 3, 2, 0, 5, 1, 5, 1]","[0, 30, 75, 225, 285, 345, 405, 465, 525, 540, 570, 585, 600, 615, 645, 660]"
2023-09-28,55,7475,716,"[5, 5, 2, 3, 4, 3, 5, 4, 1, 1, 1, 5, 4, 1, 3, 7, 3, 7, 5, 3]","[5, 5, 2, 3, 4, 3, 5, 4, 1, 1, 1, 5, 4, 1, 3, 7]","[0, 30, 45, 120, 195, 270, 330, 405, 465, 540, 555, 585, 600, 615, 630, 660]"
2023-09-28,56,7505,712,"[6, 2, 2, 3, 3, 7, 4, 5, 1, 3, 1, 3, 2, 5, 4, 1, 3]","[6, 2, 2, 3, 3, 7, 4, 5, 1, 3, 1, 3, 2, 5, 4, 1]","[0, 45, 120, 210, 285, 345, 420, 480, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,57,7516,702,"[6, 6, 2, 6, 5, 3, 4, 6, 2, 0, 1, 3, 4, 2, 4, 0]","[6, 6, 2, 6, 5, 3, 4, 6, 2, 0, 1, 3, 4, 2, 4, 0]","[0, 45, 90, 150, 225, 285, 345, 435, 480, 540, 555, 585, 600, 615, 630, 660]"
2023-09-28,58,7503,665,"[4, 3, 3, 5, 4, 7, 5, 6, 1, 0, 2, 2, 1, 4, 5, 3]","[4, 3, 3, 5, 4, 7, 5, 6, 1, 0, 2, 2, 1, 4, 5, 3]","[0, 30, 105, 195, 255, 315, 390, 450, 510, 540, 555, 570, 585, 615, 630, 645]"
2023-09-28,59,7072,675,"[3, 2, 3, 6, 4, 7, 7, 5, 0, 0, 2, 2, 0, 4, 5]","[3, 2, 3, 6, 4, 7, 7, 5, 0, 0, 2, 2, 0, 4, 5]","[0, 60, 135, 210, 270, 330, 390, 480, 540, 570, 585, 600, 615, 630, 660]"
